"fincode","year_end","net_profit","net_sales_ttm","net_sales_2yr","interest_earned_growth_percentage_cons_3year","net_profit_growth_percentage_cons_3year","operating_profit_growth_percentage_cons_3year","profit_after_tax_growth_percentage_cons_3year","profit_before_tax_growth_percentage_cons_3year","eps_growth_percentage_cons_3year","net_sales_growth_percentage_cons_3year","operating_profit_margin_growth_percentage_cons_3year","net_margin_growth_percentage_cons_3year"
111393,201203,NULL,NULL,"2.94",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100304,202103,"49.513","357.58299999999997","961.11",NULL,"-41.92203571679104","-72.97507338720177","-30.38957955872875","-31.143355900253532","-30.302765417293863","-28.07697872180589","-76.32936345956047","-41.26859477113614"
100010,202003,"27699.76","152940.25","112266.69",NULL,"10.158655205616697","9.551194555152055","6.662661693288419","7.047432965024769","4.839019204078188","10.855426997134398","-37.745106486878335","-39.3818711550876"
286319,202103,"1.746","61.291999999999994","15.15",NULL,"169.72207918522355","51.55694580563217","93.76604098892545","93.47639515065849","92.83241100134305","59.34204502879439","-40.07915848421596","-23.65056813102432"
301912,202103,"244.026","791.485","512.43",NULL,"10.909591986065736","8.609757896576875","7.146849332041905","6.89598881107234","7.136898605171926","15.5942009063331","-40.810377554610334","-41.64754580624642"
117514,202103,"2.705","157.822","67.62",NULL,NULL,"67.90436730698892",NULL,NULL,NULL,"32.64700809578862","-20.261585946469097",NULL
123756,202103,"-11108.99","1544.2","3430.82",NULL,"-23.037328730452344","47.50145189258279","-14.821864755339554","-15.665017875803432","-14.81748585193914","-23.363580685123264","56.845566089350385","5.4074867742663235"
304125,202103,NULL,NULL,"2335.27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109874,202103,"-73.85","534.9100000000001","325.56",NULL,"-21.702391603211456",NULL,"-13.989821913569301","-45.89695116406936","1.3227587262472196","18.000331051591758",NULL,"39.0016214769051"
131746,202103,"-39.852","57.46","38.37",NULL,"-180.36324704899886",NULL,"-98.82945439358724","-111.33646749051094","-97.37150555487226","14.408407580928916",NULL,"-8.35991217161791"
209127,202103,"89.625","1087.355","652.31",NULL,"44.08658889974604","15.511969447303798","27.5701423114765","25.764450774750248","28.57122965155332","18.569350208149118","-38.628212500326306","-32.4278475801633"
131795,202103,"18.34","722.7","295.90",NULL,NULL,NULL,NULL,NULL,NULL,"34.670052631793304",NULL,NULL
132630,202103,"130.972","2378.8849999999998","1210.73",NULL,"122.35569164096974","35.52208395824028","70.35916406896372","81.4367001543609","49.56689780345083","25.2493213599835","-31.8371558723488","-14.455854544141777"
132299,200703,NULL,NULL,"247.12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287340,202103,"7.843000000000001","206.37399999999997","133.11",NULL,"19.851862165211553","18.47288099800808","12.831368974203139","14.504365674203434","12.864828063741452","15.739454948778997","-35.51613344146105","-38.57064171624055"
274632,201603,NULL,NULL,"19.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100038,202103,"436.921","5415.378","4811.66",NULL,"-4.571990855724783","1.2292214285090752","-3.071704499028549","-2.636851579028865","-1.7923310553671357","4.01866640681634","-38.69331109436918","-41.495163773300305"
100228,202103,"8973","175006","79839.00",NULL,"6.7575769500716865","11.88510948014998","4.455778963004109","3.651942655200635","-4.165870738181954","29.901036567598815","-45.740846905992036","-49.300871631903384"
205951,201203,NULL,NULL,"56.22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132407,202103,"9.884","293.914","105.19",NULL,NULL,"70.50464668773529",NULL,NULL,NULL,"40.847325931154785","-23.738425765552094",NULL
226076,202103,"358.6","2005.8","702.58",NULL,"87.08026087583241","43.02835785107322","51.828037303338604","54.65400605181707","52.46620942824831","41.861304151872325","-36.48557587593435","-32.86839346150718"
105526,202103,"157.751","331.482","265.02",NULL,"3.5922803311988494","-0.45207035648676674","2.3807394812161764","2.927750408756613","2.3561086295731615","7.744166777100836","-41.79650415581248","-41.20862707140505"
219237,202103,"196.73","1005.408","1307.40",NULL,"0.053415410338497615","-23.423380832369755","0.035607104082435725","8.77668697533942","0.3519860069435943","-8.382602286560726","-47.34592161468345","-32.95396255354658"
304684,202103,NULL,NULL,"170.91",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132898,202103,"15245.13","45792.32","39639.79",NULL,"12.542401350177546","3.6400930244429697","8.195895323393398","7.054167845789672","-10.14999961091858","4.926962465829154","-37.776558214442225","-35.057594441688025"
214317,202103,NULL,NULL,"195.17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274036,202003,NULL,NULL,"628.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100144,202103,"651.6899999999999","5014.39","2768.11",NULL,"18.837497447716125","25.649116726584854","12.193836317883267","11.042551442243397","12.193854132513993","21.90221252837896","-35.06763996278246","-42.15553385377896"
100067,202103,"591.28","11967.65","4263.59",NULL,"142.3640112064386","53.926149698123595","80.43138705085657","74.48890323372572","40.26498742627125","41.06236091191602","-31.259198102095233","-19.235891389713768"
117477,201503,NULL,NULL,"21.48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112237,202103,"52.870000000000005","463.06000000000006","471.51",NULL,"-23.38061108783933","-0.4144152173388038","-16.267808905456416","-17.374678064456393","-17.222173656738228","-0.6009760520700458","-36.88579574599077","-44.55850494231044"
100660,202103,"927.5799999999999","3749.21","2925.60",NULL,"79.69274821461711","25.324284783159136","47.80428805977523","40.52738506898279","37.32817392974934","8.619618505993131","-27.315738530055377","-14.304294436164932"
123630,202103,"150.05","23560.31","11905.66",NULL,"-20.44443936505799","-8.45229411561541","-14.142080518807088","-19.312744020261984","-14.14203086841913","25.547819652835415","-54.064163745628235","-56.9700415338112"
132684,202103,"97.6","1222.96","949.13",NULL,"3.256988531415139","-1.1146770718418297","2.1597064942299182","-7.05850726503493","3.2944333406656146","8.816691485354422","-42.75340767730411","-40.70909217216341"
101471,201503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109820,201212,NULL,NULL,"900.59",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106642,202103,"7.56","165.55","103.05",NULL,"-31.110503617282802","21.926946928480962","-21.99867024037556","-14.875502466710378","-41.38653707944615","17.118921094828956","-34.417758919903044","-57.53914449586526"
132163,202103,"204.24","1171.3600000000001","441.96",NULL,"34.16802018908809","28.64141233674866","21.64642237924863","22.0330925259709","-45.25796313560731","38.38928798085854","-41.441153616644485","-44.27433573027616"
208190,202103,"304.90999999999997","4223.67","2784.06",NULL,"0.45735092038750036","2.666618041679003","0.30466867378968754","0.7226339236954038","0.30467558657480964","14.904524383359984","-43.71334206098487","-45.04801337073565"
