"fincode","year_end","current_net_profit","prev_net_profit","net_sales_ttm","net_sales_2yr","opm_2yr","opm_2yr_cr","prev_op","current_op","interest_earned_growth_percentage_cons_2year","net_profit_growth_percentage_cons_2year","operating_profit_growth_percentage_cons_2year","profit_after_tax_growth_percentage_cons_2year","profit_before_tax_growth_percentage_cons_2year","eps_growth_percentage_cons_2year","net_sales_growth_percentage_cons_2year","operating_profit_margin_growth_percentage_cons_2year","net_margin_growth_percentage_cons_2year"
132771,202203,"-4.058","-4.29","70.798","86.25","-0.9751612708747883","-0.3305178112376056","-0.8411000000000115","-0.9359999999999999",NULL,"2.741542993899715","-5.490683899052429","2.741542993899715",NULL,"8.945698662352386","-9.39942733008835","41.781741286747774","45.092413343506045"
112559,202203,"-4.55","-6.32","95.1","98.57","-2.0673562250483233","3.869610935856992","-2.037700000000015","14.719999999999999",NULL,"15.150915805722487",NULL,"15.150915805722487","-27.475487839819635","15.139165789977449","-1.7759402562210425",NULL,"55.90076374453121"
100034,202203,"16779.48","7028.23","69683.51","31640.45","62.37386004307778","17.10955002123171","19735.370000000003","47690.14",NULL,"54.51344166438821","55.45033495957645","54.51344166438821","52.422018459459906","51.66961533702297","48.40334271930544","-47.625729949493156","-47.953515810705525"
209532,202203,"250.4","132.06","2856.4","2979.30","7.924344644715201","3.2050833216636327","236.09000000000015","366.2",NULL,"37.699231289587985","24.543301416573215","37.699231289587985","40.01179185618693","36.67044386632763","-2.084286278508396","-36.4028016122007","-29.795316045712106"
113005,201603,NULL,"-5.26",NULL,NULL,NULL,NULL,"-0.4216394",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132917,201103,NULL,"44.48",NULL,"3540.76","4.977805593549632",NULL,"176.25199999999995",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132218,202203,"1303.1","44.81",NULL,"6586.54","-17.097282145588633",NULL,"-1126.1188999999995",NULL,"19.548054738297505","439.26396481194604",NULL,"439.26396481194604",NULL,"382.32176298121357",NULL,NULL,NULL
113436,202203,"-18.81","82.11","613.24","880.08","13.270559152217915","0.13820037831843976","116.79089999999997","3.3899999999999992",NULL,NULL,"-82.96291278872205",NULL,NULL,NULL,"-16.525435557731292","-89.79507059157054",NULL
208099,202203,NULL,"702.56",NULL,"5855.39","22.712555122317276",NULL,"1329.9080000000004",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303077,202203,"0.8019999999999999","0.13","29.25","9.40","4.977601855694233","2.8991452991452995","0.46779999999999866","3.3920000000000003",NULL,"148.3793624524946","169.27610271895855","148.3793624524946","191.30249373656736","-63.15312350154619","76.40017368641037","-23.682363332567512","-29.72999280223194"
