156,"Earnings Per Share","NaN","Cr.","eps","finance_pl_1year_view","std",False,False,False
165,"Employee Cost 3 year (back)","NaN","Cr.","employees_3year","finance_pl_3_year_view","std",False,False,False
167,"Interest 3 year (back)","NaN","Cr.","interest_3year","finance_pl_3_year_view","std",False,False,False
168,"Interest Earned 3 year (back)","NaN","Cr.","interest_earned_3year","finance_pl_3_year_view","std",False,False,False
171,"Net Profit 3 year (back)","NaN","Cr.","consolidated_netprofit_3year","finance_pl_3_year_view","std",False,False,False
173,"Operating Expenses 3 year (back)","NaN","Cr.","operating_expenses_3year","finance_pl_3_year_view","std",False,False,False
174,"Operating Profit 3 year (back)","NaN","Cr.","operating_profit_3year","finance_pl_3_year_view","std",False,False,False
175,"Other Income 3 year (back)","NaN","Cr.","other_income_3year","finance_pl_3_year_view","std",False,False,False
176,"PBDT 3 year (back)","NaN","Cr.","gross_profits_3year","finance_pl_3_year_view","std",False,False,False
177,"Power & Fuel Cost 3 year (back)","NaN","Cr.","power_fuel_3year","finance_pl_3_year_view","std",False,False,False
178,"Profit After Tax 3 year (back)","NaN","Cr.","profit_after_tax_3year","finance_pl_3_year_view","std",False,False,False
179,"Profit Before Tax 3 year (back)","NaN","Cr.","profit_before_tax_3year","finance_pl_3_year_view","std",False,False,False
181,"Earnings Per Share 3 year (back)","NaN","Cr.","eps_3year","finance_pl_3_year_view","std",False,False,False
187,"Cash from Financing Activity","NaN","Cr.","cash_from_financing","finance_cf_1year_view","std",True,True,True
188,"Cash from Investing Activity","NaN","Cr.","cash_from_investment","finance_cf_1year_view","std",True,True,True
190,"Free Cash Flow","NaN","%","fcf_share","finance_fr_1year","std",True,True,True
191,"Net Cash Flow","NaN","Cr.","net_cash_inflow_outflow","finance_cf_1year_view","std",True,True,True
195,"Cash from Financing Activity 3year (back)","NaN","Cr.","cash_from_financing_3year","finance_cf_3year_view","std",True,True,True
196,"Cash from Investing Activity 3year (back)","NaN","Cr.","cash_from_investment_3year","finance_cf_3year_view","std",True,True,True
198,"Free Cash Flow 3year (back)","NaN","Cr.","fcf_share_3year","finance_cf_3year_view","std",True,True,True
199,"Net Cash Flow 3year (back)","NaN","Cr.","net_cash_inflow_outflow_3year","finance_cf_3year_view","std",True,True,True
203,"Asset Turnover Ratio","NaN","%","asset_turnover","finance_fr_1year_view","std",True,True,True
204,"CASA Ratio","NaN","%","casa","finance_fr_1year_view","std",True,True,True
207,"Credit Deposit Ratio","NaN","%","credit_deposit","finance_fr_1year_view","std",True,True,True
208,"Current Ratio","NaN","%","current_ratio","finance_fr_1year_view","std",True,True,True
209,"Days Inventory Outstanding","NaN","%","inventory_days","finance_fr_1year_view","std",True,True,True
210,"Days Payable Outstanding","NaN","%","payable_days","finance_fr_1year_view","std",True,True,True
211,"Days Receivable Outstanding","NaN","%","receivable_days","finance_fr_1year_view","std",True,True,True
212,"Debt to Equity","NaN","%","total_debt_equity","finance_fr_1year_view","std",True,True,True
214,"Dividend Payout Ratio","NaN","%","dividend_payout_per","finance_fr_1year_view","std",True,True,True
215,"Dividend Yield","NaN","%","yield","finance_fr_1year_view","std",True,True,True
227,"Net Interest Margin","NaN","%","nim","finance_fr_1year_view","std",True,True,True
